N: 59.3541666666667, E: 18.0647222222222
N: 59.3516666666667, E: 18.0686111111111
N: 59.3516666666667, E: 18.0686111111111
N: 59.3466666666667, E: 18.0738888888889
N: 59.3466666666667, E: 18.0738888888889
N: 59.3466666666667, E: 18.0738888888889
N: 59.3469444444444, E: 18.0730555555556
N: 59.3469444444444, E: 18.0730555555556
N: 59.3469444444444, E: 18.0730555555556
N: 59.3483333333333, E: 18.0747222222222
N: 59.3483333333333, E: 18.0738888888889
N: 59.3483333333333, E: 18.0738888888889
N: 59.3502777777778, E: 18.0747222222222
N: 59.3491666666667, E: 18.0747222222222
N: 59.35, E: 18.0691666666667
N: 59.3536111111111, E: 18.0652777777778
N: 59.3536111111111, E: 18.0652777777778
N: 59.3536111111111, E: 18.0652777777778
N: 59.3502777777778, E: 18.0666666666667
N: 59.3497222222222, E: 18.0666666666667
N: 59.3511111111111, E: 18.0702777777778
N: 59.3538888888889, E: 18.0583333333333
N: 59.3538888888889, E: 18.0583333333333
